country_code,registration_number,legal_name,registered_address,incorporation_date,entity_status,industry_codes,sanctioned
GB,GB-24883577,Fenwick Composite Assembly Ltd.,"168 Export Zone, Newport, GB",1995-12-24,active,"{2640,2620}",false
TW,TW-94554638,"Meridian Quantum Holdings Co., Ltd.","258 Science Road, Tainan, TW",1997-06-12,active,"{4652,6420}",false
CN,CN-878232680,"Auralis Quantum Assembly Co., Ltd.","13 Science Road, Dongguan, CN",2006-02-13,dissolved,"{2630,2620}",false
KR,KR-779412624,"Verdant Micro Holdings Co., Ltd.","212 Harbour Way, Incheon, KR",2000-05-06,active,"{4652,6420}",false
JP,JP-6486-66-770321,Halcyon Micro Assembly K.K.,"256 Export Zone, Kumamoto, JP",2008-08-19,dissolved,"{2640,2620}",false
VN,VN-433986283,Orbital Advanced Freight JSC,"248 Innovation Park, Ho Chi Minh City, VN",1999-01-05,dissolved,"{5210,5229}",false
MY,MY-438084758,Aetheris Composite Freight Sdn. Bhd.,"48 Industrial Avenue, Johor Bahru, MY",2004-05-17,active,"{5229,4923}",false
SG,SG-200432304N,Cobalt Circuit Freight Pte. Ltd.,"121 Fabrication Lane, Singapore, SG",1998-04-09,active,"{5210,5229}",false
TH,TH-501327287,"Northwind Integrated Components Co., Ltd.","135 Harbour Way, Bangkok, TH",1997-10-18,active,"{2611,2620}",false
IN,IN-U2611TN2021PTC369463,Grandview Circuit Group Pvt. Ltd.,"245 Industrial Avenue, Bengaluru, IN",2001-01-15,active,"{7010,6420}",false
US,US-67-6544390,Lodestar Thermal Ventures Inc.,"185 Technology Boulevard, Phoenix, AZ, US",2007-11-13,active,"{4652,6420}",false
DE,DE-HRB663576,Northwind Advanced Transport GmbH,"124 Science Road, Dresden, DE",1999-12-16,active,"{4923,5210}",true
FR,FR-404619235,Zenith Integrated Devices S.A.S.,"56 Industrial Avenue, Grenoble, FR",2004-07-24,active,"{2620,2640}",false
PL,PL-4220888811,Vantage Quantum Group Sp. z o.o.,"15 Innovation Park, Gdansk, PL",2004-07-02,active,"{6420,4652}",false
GB,GB-85881599,Solstice Precision Semiconductor Ltd.,"74 Innovation Park, Newport, GB",2013-06-28,active,"{2610,2611}",false
TW,TW-88637300,"Formosa Micro Assembly Co., Ltd.","247 Innovation Park, Taichung, TW",1997-02-24,active,"{2630,2640}",false
CN,CN-538173835,"Estuary Substrate Modules Co., Ltd.","27 Fabrication Lane, Shenzhen, CN",2014-02-06,active,"{2620,2630}",false
KR,KR-280562341,"Cinder Substrate Logistics Co., Ltd.","228 Industrial Avenue, Incheon, KR",2023-05-10,active,"{5229,4923}",false
JP,JP-2360-69-656021,Talon Thermal Logistics K.K.,"186 Technology Boulevard, Tokyo, JP",2002-09-26,active,"{5210,5229}",false
VN,VN-360808566,Thistle Precision Devices JSC,"173 Industrial Avenue, Ho Chi Minh City, VN",2022-07-14,active,"{2630,2620}",false
MY,MY-548407795,Cinder Quantum Assembly Sdn. Bhd.,"230 Fabrication Lane, Penang, MY",2010-12-07,active,"{2630,2640}",false
SG,SG-201221583M,Cinder Photonic Systems Pte. Ltd.,"50 Fabrication Lane, Jurong, SG",2004-04-25,dissolved,"{2620,2630}",false
TH,TH-503901558,"Quartzfield Substrate Assembly Co., Ltd.","224 Harbour Way, Bangkok, TH",2019-09-27,active,"{2640,2630}",false
IN,IN-U2611TN2002PTC917254,Meridian Micro Capital Pvt. Ltd.,"42 Harbour Way, Pune, IN",1995-07-01,active,"{6420,4652}",false
DE,DE-HRB284697,Nimbus Quantum Transport GmbH,"16 Technology Boulevard, Regensburg, DE",2020-11-16,active,"{5229,4923}",false
FR,FR-583308606,Lodestar Quantum Group S.A.S.,"267 Technology Boulevard, Grenoble, FR",1998-10-19,active,"{4652,7010}",false
PL,PL-2099662699,Everline Circuit Electronics Sp. z o.o.,"122 Export Zone, Wroclaw, PL",1995-12-24,active,"{2630,2620}",false
GB,GB-96557525,Auralis Thermal Holdings Ltd.,"285 Fabrication Lane, Newport, GB",2013-10-27,active,"{4652,7010}",false
TW,TW-58785453,"Ironwood Circuit Wafer Co., Ltd.","293 Technology Boulevard, Tainan, TW",2016-06-27,active,"{2610,2620}",false
CN,CN-615094829,"Grandview Micro Group Co., Ltd.","295 Harbour Way, Wuxi, CN",1996-08-06,active,"{7010,6420}",false
KR,KR-312047733,"Silverbrook Advanced Supply Chain Co., Ltd.","149 Technology Boulevard, Cheonan, KR",2015-02-24,active,"{5229,4923}",false
JP,JP-2959-21-895119,Thistle Thermal Devices K.K.,"130 Harbour Way, Osaka, JP",2008-12-08,active,"{2640,2620}",false
VN,VN-735536315,Lodestar Integrated Group JSC,"37 Innovation Park, Da Nang, VN",2013-01-14,active,"{6420,7010}",false
MY,MY-256370722,Lodestar Thermal Foundry Sdn. Bhd.,"170 Export Zone, Kulim, MY",2019-09-18,active,"{2611,2610}",false
SG,SG-199627474M,Vantage Micro Transport Pte. Ltd.,"154 Harbour Way, Jurong, SG",2001-02-03,active,"{4923,5210}",false
TH,TH-701579722,"Formosa Substrate Electronics Co., Ltd.","59 Science Road, Chonburi, TH",2003-09-18,active,"{2640,2630}",false
IN,IN-U2611MH2012PTC605720,Pinnacle Advanced Electronics Pvt. Ltd.,"65 Science Road, Bengaluru, IN",2014-02-26,active,"{2620,2630}",false
US,US-88-2169825,Halcyon Precision Transport Inc.,"215 Export Zone, Portland, OR, US",2003-03-24,active,"{4923,5229}",false
DE,DE-HRB157745,Talon Composite Ventures GmbH,"226 Technology Boulevard, Regensburg, DE",2004-03-03,active,"{6420,4652}",false
FR,FR-623263354,Meridian Advanced Electronics S.A.S.,"239 Science Road, Lyon, FR",2004-07-03,active,"{2620,2630}",false
PL,PL-1991344810,Halcyon Substrate Electronics Sp. z o.o.,"246 Innovation Park, Wroclaw, PL",2014-06-28,dissolved,"{2640,2630}",false
GB,GB-29599353,Lumen Integrated Capital Ltd.,"54 Fabrication Lane, Cambridge, GB",2005-05-25,dissolved,"{6420,4652}",false
TW,TW-40292345,"Lodestar Circuit Systems Co., Ltd.","290 Industrial Avenue, Tainan, TW",2001-12-06,active,"{2620,2630}",false
CN,CN-610882308,"Silverbrook Precision Components Co., Ltd.","144 Innovation Park, Suzhou, CN",2005-03-05,active,"{2610,2620}",false
KR,KR-801535191,"Meridian Photonic Holdings Co., Ltd.","60 Innovation Park, Seoul, KR",2006-08-04,active,"{7010,6420}",false
